PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
9407,5,2,2,2,1,3,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,4,4,4,4,4,3,3,3,3,1,1,3,3,2,3,1,6,1,1,0,3,3,6,3,1,0,0,2,2,0,2,1192.3025,05/06/2020
9408,3,2,2,2,1,5,3,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,4,3,3,3,3,3,3,3,3,1,3,3,1,3,2,3,2,1,1,1,2,7,3,1,2,1,2,2,0,2,12073.8961,05/06/2020
9409,3,2,2,1,2,2,3,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,4,3,3,2,1,3,3,1,1,1,1,3,3,2,2,2,1,2,0,1,1,6,3,1,5,2,2,2,0,2,5228.1927,05/06/2020
9410,1,2,1,2,2,1,1,3,2,2,2,2,3,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,4,3,3,3,3,3,3,1,1,1,1,9,1,2,2,3,1,1,1,1,1,3,4,2,9,2,2,4,0,2,4388.3337,05/06/2020
9411,6,2,2,2,1,4,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,2,2,2,7,2,1,0,1,1,6,9,4,1,1,2,4,0,2,23175.5083,05/06/2020
9412,5,2,2,2,1,4,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,4,2,2,4,1,3,3,1,1,3,1,1,1,1,4,4,1,1,1,1,1,6,1,1,1,1,2,4,0,2,4515.6985,05/06/2020
9413,4,2,2,2,1,4,3,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,3,4,3,3,4,3,3,3,3,3,1,3,1,2,3,1,3,1,2,1,3,1,7,1,1,6,2,2,2,0,2,803.1078,05/06/2020
9414,5,2,2,2,1,4,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,3,4,3,2,3,3,3,3,3,1,3,3,1,1,3,4,2,2,1,1,4,5,4,2,0,0,2,3,0,2,14066.4462,05/06/2020
9415,1,2,2,2,1,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,1,1,1,9,1,1,1,1,1,1,1,2,1,1,0,4,2,7,2,1,21,4,1,0,3,2,15423.5587,05/06/2020
9416,4,2,2,2,1,4,3,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,4,3,4,4,3,3,3,3,1,1,3,3,4,5,2,3,1,1,1,1,4,4,3,1,5,2,2,2,0,2,1853.4672,05/06/2020
9417,6,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,3,2,2,3,3,9,9,9,1,1,9,9,2,3,2,6,2,2,0,1,4,2,9,4,6,2,2,3,3,2,4862.6712,05/06/2020
9418,6,2,2,2,1,4,3,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,9,4,4,5,1,2,0,1,1,4,9,4,1,1,2,2,0,2,22532.8832,05/06/2020
9419,4,2,2,2,1,3,3,2,3,3,4,4,3,3,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,4,4,3,3,3,1,1,1,1,1,3,1,3,1,2,1,2,0,4,1,6,1,1,15,4,1,2,2,2,1157.1616,05/06/2020
